Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Amberjack,They usually live in schools and can be characterized as solitary.Their aggression level is low.,,"This animal has scales.Its body can be silver, yellow and grey.",This animal's natural habitat is ocean reefs and wrecks.,It has a school and solitary lifestyle.
Ambrosia Beetle,,,"This animal has an exoskeleton.Its body can be black, red and brown.","This animal's natural habitat is anywhere with hardwood trees, conifers and and woody shrubs.",
American Alsatian,,,"This animal has hair.Its body can be gold, black, silver and cream.",,
American Bulldog,,,"This animal has hair.Its body can be brindle, black, white, red, brown and tan.",,
American Bully,They can be characterized as social.Their aggression level is low.,,"This animal has hair.Its body can be black, fawn, white, red, blue, brown, tan and grey.",,
American Cocker Spaniel,,,"This animal has hair.Its body can be black, fawn, white, red, brown, tan and grey.",,
American Cockroach,,5.471756,This animal has an exoskeleton.Its body can be red and brown.,This animal's natural habitat is moist regions and within manmade structures.,
American Coonhound,,,"This animal has hair.Its body can be tan, black, white and brown.",,
American Dog Tick,,,This animal has an exoskeleton.Its body can be brown.,,
American Eel,They can be characterized as solitary.Their aggression level is low.,,"This animal has scales.Its body can be yellow, dark, green, light, white, brown, silver and grey.","This animal's natural habitat is freshwater, estuaries, atlantic ocean and sargasso sea.",
American Eskimo Dog,,,This animal has hair.Its body can be white.,,
American Foxhound,,,"This animal has hair.Its body can be tan, black and white.",,
American Hairless Terrier,,,,,
American Leopard Hound,,67.59228,"This animal has hair.Its body can be brindle, black, yellow, blue and tan.",,
American Paddlefish,,,,This animal's natural habitat is currently and these fish are only found in the mississippi river basin..,
American Pit Bull Terrier,,,"This animal has hair.Its body can be brindle, black, white, brown and tan.",,
American Pugabull,,,"This animal has fur.Its body can be white, red, cream, brown and tan.",,It has a diurnal lifestyle.
American Pygmy Goat,,,"This animal has fur.Its body can be caramel, black, white and grey.","This animal's natural habitat is rocky terrain, hillsides, plains and farmland.",
American Robin,,57.93624,"This animal has feathers.Its body can be orange, black, white and grey.","This animal's natural habitat is woodland, shrubland and and residential.",
American Staffordshire Terrier,,,"This animal has hair.Its body can be tan, black, white and brown.",,
American Toad,,,"This animal's skin is permeable.Its body can be olive, light-brown, brown and grey.",This animal's natural habitat is semi-permanent pool or pond and dense vegetation patches.,
American Water Spaniel,,,"This animal has hair.Its body can be dark, black and brown.",,
American Wirehair,They can be characterized as social. Their temperament can be characterized as friendly.Their aggression level is low.,48.2802,"This animal has fur.Its body can be black, white, red, blue, cream, silver and grey.",,
Amethystine Python,They can be characterized as solitary except during mating season.Their aggression level is medium.,,"This animal has scales.Its body can be gold, black, yellow, orange, brown and grey.",,It has a nocturnal lifestyle.
Amphicoelias Fragillimus,,,,,
Amur Leopard,,,,This animal's natural habitat is forests.,It has a solitary lifestyle.
Anaconda,,16.0934,This animal has scales.Its body can be olive-grey.,"This animal's natural habitat is swamps, river and heavy forest.",It has a nocturnal lifestyle.
Anatolian Shepherd Dog,,,"This animal has hair.Its body can be brindle, fawn, white, red, blue, brown and cream.",,
Anchovies,,,This animal has scales.Its body can be green.,"This animal's natural habitat is salt waters, brackish waters and as well as in temperate waters.",
Andrewsarchus,,,,This animal's natural habitat is coastal areas in subtropical and temperate forests.,
Angel Shark,They can be characterized as solitary.Their aggression level is medium.,,This animal's skin is leather.Its body can be grey.,,
Angelfish,,,"This animal has scales.Its body can be black, yellow, green, white and blue.",This animal's natural habitat is coral reefs.,
Angled Sunbeam Caterpillar,They can be characterized as solitary.Their aggression level is low.,,"This animal has scales.Its body can be black, white, red, orange and silver.",This animal's natural habitat is tropical and subtropical forests.,It has a diurnal lifestyle.
Anglerfish,,,"This animal has skin.Its body can be black, yellow, green, brown and grey.",,
Angora Ferret,,24.1401,"This animal has fur.Its body can be sandy, black, white and brown.",This animal's natural habitat is forests and grasslands..,
Angora Goat,,,"This animal has hair.Its body can be black, white and red.",This animal's natural habitat is farms.,
Anhinga,,,This animal has feathers.Its body can be multi-colored.,"This animal's natural habitat is wetlands, marshes and and estuaries.",It has a pair and colony lifestyle.
Annas Hummingbird,They can be characterized as solitary. Their temperament can be characterized as solidary.Their aggression level is medium.,96.5604,"This animal has feathers.Its body can be green, red, brown and grey.","This animal's natural habitat is open woodlands, shrubs, trees, gardens and and coastal areas near water.",
Anole Lizard,,,"This animal has scales.Its body can be green, white, red, brown and tan.",,
Anomalocaris,,,,,
Ant,,,"This animal has a shell.Its body can be black, red and brown.","This animal's natural habitat is soil, cavities in wood and plants.",
Antarctic Scale Worm,,,"This animal has bristled hairs.Its body can be gold, yellow and grey-brown.","This animal's natural habitat is antarctica and the southern ocean at a depth of 1,706 to 2,198 feet (520 to 670 meters).",
Anteater,,28.96812,"This animal has fur.Its body can be tan, black, brown and grey.",This animal's natural habitat is forest and grasslands.,It has a solitary lifestyle.
Antelope,,69.20162,"This animal has fur.Its body can be tan, red and brown.",This animal's natural habitat is forest and grasslands.,It has a herd lifestyle.
Anteosaurus,,,,This animal's natural habitat is semi-aquatic (temperate zone of south africa).,
Antiguan Racer Snake,They can be characterized as solitary. Their temperament can be characterized as docile.Their aggression level is low.,4.02335,"This animal has scales.Its body can be black, white, red, brown and grey.",This animal's natural habitat is woodlands and thick undergrowth.,It has a diurnal lifestyle.
Ape,,,,"This animal's natural habitat is mountains, rainforests and forests.",
Apennine Wolf,They usually live in packs. Their temperament can be characterized as territorial and aggressive.Their aggression level is high.,,,This animal's natural habitat is forest.,It has a nocturnal lifestyle.
Appenzeller Dog,,,"This animal has hair.Its body can be tan, black and white.",,
Apple Head Chihuahua,,,"This animal has hair.Its body can be gold, black, chocolate, fawn, red, blue, cream, tan and silver.",,
Apple Moth,They can be characterized as solitary.Their aggression level is low.,37.01482,"This animal has hair.Its body can be yellow, brown and grey.","This animal's natural habitat is leaves, shrubs and fruit.",It has a nocturnal lifestyle.
Arabian Cobra,,,"This animal has scales.Its body can be gold, yellow and light-brown.",,
Arabian Wolf,They usually live in packs.Their aggression level is medium.,61.15492,This animal has fur.Its body can be beige and grey.,This animal's natural habitat is arid deserts and mountains.,It has a pack lifestyle.
Arafura File Snake,They can be characterized as solitary.Their aggression level is low.,,,,
Arambourgiania,,,,,
Arapaima,,,"This animal has scales.Its body can be black, green, red and light-brown.",,
Archaeoindris,,,,,It has a diurnal lifestyle.
Archaeopteryx,,,This animal has feathers.Its body can be black.,This animal's natural habitat is islands in the sea of tethys.,It has a nocturnal lifestyle.
Archaeotherium,,,,,
Archelon Turtle,,,,This animal's natural habitat is on the beach.,
Archerfish,They usually live in schools.Their aggression level is low.,,"This animal has scales.Its body can be gold, black, silver and white.",This animal's natural habitat is fresh and brackish waters with lots of vegetation.,It has a school lifestyle.
Arctic Char,,1.8668344,This animal has scales.Its body can be multi-colored.,"This animal's natural habitat is ocean for mating, spawning and freshwater at other times.",
Arctic Fox,,48.2802,"This animal has fur.Its body can be black, white and grey.",This animal's natural habitat is polar forest regions.,It has a solitary lifestyle.
Arctic Hare,,64.3736,This animal has fur.Its body can be white and grey.,This animal's natural habitat is tundra and rocky areas.,It has a herd lifestyle.
Arctic Wolf,,74.02964,This animal has fur.Its body can be white and grey.,This animal's natural habitat is grass plains and tundra forests.,It has a pack lifestyle.
Arctodus,,,"This animal has fur.Its body can be light-brown, black, light and grey.",,
Arctotherium,,,,,
Argentavis Magnificens,,,,,
Argentine Black And White Tegu 2,They usually live in groups.Their aggression level is low.,,This animal has scales.Its body can be black and white.,"This animal's natural habitat is forests, shrubland, grassland, rivers, swamps, freshwater marshes, pastureland, rural gardens and and urban areas.",It has a group lifestyle.
Argentinosaurus,,,,,
Arizona Bark Scorpion,,,This animal has an exoskeleton.Its body can be light-brown.,This animal's natural habitat is deserts.,
Arizona Black Rattlesnake,They can be characterized as semi-social and community-minded. Their temperament can be characterized as docile.Their aggression level is low.,,"This animal has scales.Its body can be yellow, fawn, red, olive-grey, brown, grey-brown and grey.",This animal's natural habitat is forests and leaf litter.,"It has a nocturnal, diurnal, season, solitary and sociable lifestyle."
Arizona Blonde Tarantula,They can be characterized as solitary. Their temperament can be characterized as docile.Their aggression level is low.,,"This animal has hairs.Its body can be dark, blonde, grey-brown and brown.","This animal's natural habitat is desert, scrubland and dry forest.",It has a diurnal and nocturnal lifestyle.
Arizona Coral Snake,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be black, yellow, white, red and cream.","This animal's natural habitat is the dry, arid habitats of the sonoran desert throughout the southwestern united states and northwestern mexico.",It has a crepuscular and nocturnal lifestyle.
Armadillo Lizard,,1.60934,"This animal has scales.Its body can be black, yellow, dark, light-brown and brown.",This animal's natural habitat is south african deserts.,
Armadillo,,48.2802,"This animal has boney plates.Its body can be black, pink and grey.",This animal's natural habitat is forest and grasslands.,It has a solitary lifestyle.
Armenian Gampr,They can be characterized as solitary.Their aggression level is low.,,,,It has a diurnal lifestyle.
Armored Catfish,,,,This animal's natural habitat is freshwater (and sometimes brackish).,It has a solitary lifestyle.
Armyworm,,99.77908,This animal has hair.Its body can be olive-grey and grey-brown.,This animal's natural habitat is agricultural crops and weedy grasses.,
Arsinoitherium,,,,This animal's natural habitat is shallow water and marshlands.,
Arthropleura,,,,This animal's natural habitat is various environments in the terrestrial habitat (probably coal forests of the carboniferous period)..,
Aruba Rattlesnake,,,"This animal has scales.Its body can be fawn, brown and grey.",This animal's natural habitat is dry and rocky areas on the island.,It has a crepuscular and nocturnal lifestyle.
Ashy Mining Bee,They can be characterized as solitary. Their temperament can be characterized as docile.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be black, white, grey and light.",This animal's natural habitat is orchards and backyard gardens.,
Asian Arowana,,,"This animal has scales.Its body can be orange, green, silver and red.",This animal's natural habitat is rivers and swamps of southeast asia.,
Asian Carp,,,,,It has a crepuscular lifestyle.
Asian Cockroach,,4.82802,This animal has an exoskeleton.Its body can be brown.,,
Asian Elephant,,43.45218,"This animal's skin is leather.Its body can be black, brown and grey.",This animal's natural habitat is rainforest and tropical woodland.,It has a herd lifestyle.
Asian Giant Hornet,,,"This animal has a shell.Its body can be black, yellow, red, orange and brown.",This animal's natural habitat is dense woodland.,It has a diurnal lifestyle.
Asian Lady Beetle,They usually live in infestations.Their aggression level is low.,,This animal has an exoskeleton.Its body can be orange and red.,This animal's natural habitat is primarily found in forests and orchards.,
Asian Longhorn Beetle,,,,,It has a diurnal lifestyle.
Asian Palm Civet,,,"This animal has fur.Its body can be black, yellow, white, brown, tan and grey.",This animal's natural habitat is tropical rainforest.,It has a solitary lifestyle.
Asian Vine Snake,,,"This animal has scales.Its body can be yellow, green and blue.",,
Asian Water Monitor,They can be characterized as solitary. Their temperament can be characterized as docile.Their aggression level is low.,,,"This animal's natural habitat is tropics, wetland and mangrove swamps.","It has a diurnal, nocturnal and solitary lifestyle."
Asiatic Black Bear,,40.2335,"This animal has fur.Its body can be black, white and brown.",This animal's natural habitat is deciduous tropical forest.,It has a nocturnal lifestyle.
Asp Caterpillar,They can be characterized as solitary. Their temperament can be characterized as docile.Their aggression level is low.,,,"This animal's natural habitat is asp caterpillars are found in a variety of habitats depending on the specific species. some are found in woodlands, while others are found in more open areas such as fields and gardens..",It has a diurnal lifestyle.
Asp,,,,,It has a diurnal and crepuscular lifestyle.
Assassin Bug,,,"This animal has an exoskeleton.Its body can be black, green, red, orange and brown.","This animal's natural habitat is gardens, fields, grasslands, forests and and more.",
Assassin Snail 2,They usually live in groups and can be characterized as sociable and solitary.Their aggression level is low.,,,"This animal's natural habitat is tropical freshwater like rivers, lakes, reservoirs, canals, streams and and aquariums.",It has a nocturnal lifestyle.
Atlantic Cod,They usually live in schools.Their aggression level is medium.,,"This animal has scales.Its body can be green, brown and grey.",,It has a crepuscular lifestyle.
Atlantic Salmon,,,,,
Atlantic Sturgeon,They usually live in schools.Their aggression level is low.,,"This animal has boney plates.Its body can be black, olive, white and blue.",This animal's natural habitat is atlantic ocean and rivers when spawning.,It has a school lifestyle.
Atlas Beetle,They can be characterized as solitary.Their aggression level is low.,,This animal has an exoskeleton.Its body can be green.,This animal's natural habitat is tropical rainforests of southeast asia..,It has a nocturnal lifestyle.
Atlas Moth,They can be characterized as solitary.Their aggression level is low.,,"This animal has an exoskeleton.Its body can be black, yellow, red, purple and brown.","This animal's natural habitat is dry tropical forests, shrubland and and secondary forests in southeast asia.",
Aurochs,,,,"This animal's natural habitat is grasslands, floodplains and and light woodlands.",
Aussiedoodle,,,This animal has hair.Its body can be multi-colored.,,
Aussiedor,,,"This animal has hair.Its body can be brindle, gold, black, chocolate and brown.",,
Aussiepom,,,,,
Australian Bulldog,,,"This animal has hair.Its body can be brindle, fawn, peach, red, black-brown and orange.",,
Australian Cattle Dog,,,"This animal has hair.Its body can be black, red and grey.",,
Australian Cockroach,,4.82802,This animal has an exoskeleton.Its body can be brown.,,
Australian Firehawk,"They usually live in colonial nests, pairs or flocks and can be characterized as solitary.Their aggression level is high.",189.90212,This animal has feathers.Its body can be brown.,"This animal's natural habitat is grasslands, shrublands, savannas, forested areas, wetlands and coastal areas.","It has a flock, diurnal, colony and pair lifestyle."
Australian Flathead Perch,,,,,
Australian Gecko,,,"This animal has skin.Its body can be yellow, green, orange, pink and grey.",,
Australian Kelpie Dog,,,"This animal has hair.Its body can be tan, black, red and brown.",,
Australian Labradoodle,,,"This animal has hair.Its body can be gold, black, red, blue, brown, cream and silver.",,
Australian Mist,,,"This animal has hair.Its body can be gold, chocolate, peach, caramel, lilac, blue and brown.",,
Australian Retriever,,,"This animal has hair.Its body can be gold, black, white and brown.",,
Australian Shepherd Mix,They can be characterized as social.Their aggression level is low.,,This animal has fur.Its body can be multi-colored.,,It has a diurnal lifestyle.
Australian Shepherd,,,"This animal has hair.Its body can be black, red, brown, tan and grey.",,
Australian Terrier,,,"This animal has hair.Its body can be tan, gold and black.",,
Australopithecus,,,,,
Australorp Chicken,They usually live in flocks.Their aggression level is low.,,"This animal has feathers.Its body can be black, beige, white, golden, blue and grey.",,
Avocet,,40.2335,This animal has feathers.Its body can be black and white.,This animal's natural habitat is temperate wetlands.,It has a flock lifestyle.
Axanthic Ball Python,"They can be characterized as solitary. Their temperament can be characterized as docile, curious and hardy.Their aggression level is low.",,"This animal has scales.Its body can be black, white, brown, silver, grey-brown and grey.",This animal's natural habitat is savanna and grassland.,It has a nocturnal lifestyle.
Axolotl,,16.0934,"This animal's skin is permeable.Its body can be black, white, brown, pink and grey.",This animal's natural habitat is high altitude freshwater lakes.,It has a solitary lifestyle.
Ayam Cemani,,,"This animal has feathers.Its body can be black, dark and grey.",This animal's natural habitat is pastures and fields.,It has a diurnal lifestyle.
Aye Aye,,32.1868,"This animal has fur.Its body can be brown, black and dark.",This animal's natural habitat is dense and tropical rainforest.,It has a nocturnal lifestyle.
Azawakh,,56.3269,"This animal has fur.Its body can be brindle, gold, black, white, red, blue, brown and grey.",,
Babirusa,,48.2802,This animal has hair.Its body can be brown and grey.,This animal's natural habitat is swamps and forests near rivers.,
Baboon,,48.2802,"This animal has hair.Its body can be black, yellow, olive, brown, silver and grey.","This animal's natural habitat is grassland, rocky desert and rainforest.",It has a diurnal lifestyle.
Bactrian Camel,,64.3736,This animal has fur.Its body can be tan and brown.,This animal's natural habitat is deserts close to water.,It has a herd lifestyle.
Badger,,30.57746,"This animal has fur.Its body can be black, white and brown.","This animal's natural habitat is woodlands, grasslands, marshes and and brushes.",It has a solitary lifestyle.
Bagworm Moth Caterpillar,They usually live in infestations.Their aggression level is low.,,This animal has an exoskeleton.Its body can be black and yellow.,"This animal's natural habitat is deciduous, coniferous forests and any area with appropriate plant life.",It has a diurnal lifestyle.
Bagworm Moth,,,,"This animal's natural habitat is evergreens, numerous other shrubs and trees.",It has a diurnal lifestyle.
Baiji,,59.54558,"This animal has skin.Its body can be white, blue and grey.",This animal's natural habitat is river.,
Bairds Rat Snake,,,,"This animal's natural habitat is along the dry, rocky big bend habitat along the border between the united states and mexico.",
Bald Eagle,,160.934,,This animal's natural habitat is near forests.,
Baleen Whale,,35.40548,"This animal has skin.Its body can be black, blue and grey.",This animal's natural habitat is warm and freezing ocean.,
Balinese,,,"This animal has hair.Its body can be black, chocolate, red, caramel, lilac, blue, cream and brown.",,
Balkan Lynx,,80.467,"This animal has fur.Its body can be red, white, brown and grey.","This animal's natural habitat is evergreen, deciduous forests, bush, shrublands and mountain pastures.",
Ball Python,,,,,
Bamboo Shark,They can be characterized as solitary.Their aggression level is medium.,,"This animal's skin is rough.Its body can be black, white, brown and grey.",This animal's natural habitat is coral reefs and shallow waters.,It has a nocturnal lifestyle.
Bamboo Worm,,,,This animal's natural habitat is bamboo grooves in asia.,It has a nocturnal lifestyle.
Banana Ball Python,,,"This animal has scales.Its body can be tan, orange and yellow.",,
Banana Cinnamon Ball Python,They can be characterized as solitary except during mating season.Their aggression level is low.,,"This animal has scales.Its body can be yellow, lilac and red.",,It has a nocturnal lifestyle.
Banana Eel,,,This animal has scales.Its body can be yellow and brown.,"This animal's natural habitat is reefs, rocky coasts and and other shallow waters with hiding places from predators..",
Banana Spider,,,"This animal has an exoskeleton.Its body can be black, yellow, green, red and brown.",This animal's natural habitat is moist forests and backyards.,
Banded Krait,They usually live in herds and can be characterized as solitary.Their aggression level is medium.,,,"This animal's natural habitat is forests (including mangrove forests), open plains, and agricultural fields and plantations.",It has a nocturnal lifestyle.
Banded Palm Civet,,,"This animal has fur.Its body can be black, yellow, white, brown, tan and grey.",This animal's natural habitat is tropical rainforest.,It has a solitary lifestyle.
Banded Water Snake,They can be characterized as solitary except during mating season.Their aggression level is medium.,,"This animal has scales.Its body can be olive, red, brown and grey.",,It has a diurnal and nocturnal lifestyle.
Bandicoot,,24.1401,"This animal has fur.Its body can be gold, black, white, brown, tan and grey.","This animal's natural habitat is forest, rainforest and jungle.",It has a solitary lifestyle.
Banjo Catfish,,,,"This animal's natural habitat is amazon river basin, south american streams and ponds.",
Barb,,,"This animal has scales.Its body can be black, yellow, white, red, orange and silver.",This animal's natural habitat is slow flowing rivers and lagoons.,
Barbet,,56.3269,"This animal has hair.Its body can be black, fawn, white, brown and grey.",,
Barbuts Cuckoo Bumblebee,They can be characterized as solitary. Their temperament can be characterized as solitary except when laying eggs.Their aggression level is high.,,"This animal has an exoskeleton.Its body can be black, yellow and brown.","This animal's natural habitat is gardens, meadows and moors.",It has a diurnal lifestyle.
Barinasuchus,,,,This animal's natural habitat is land and possibly in wooded or open areas near the giant wetlands of what is now south america.,
Bark Beetle,,,This animal has an exoskeleton.Its body can be black and brown.,,It has a diurnal lifestyle.
Bark Scorpion,They can be characterized as sociable. Their temperament can be characterized as mildly aggressive.Their aggression level is medium.,,"This animal has a shell.Its body can be black, beige, sandy, red, light-brown, brown and blonde.","This animal's natural habitat is forests, grasslands and and deserts.",It has a nocturnal lifestyle.
Barn Owl,,64.3736,"This animal has feathers.Its body can be black, white, orange, brown and grey.","This animal's natural habitat is open clearings, low-lying woodland, farmland, cities and and buildings like barns.",It has a solitary lifestyle.
Barn Spider,,,,,It has a nocturnal lifestyle.
Barn Swallow,,72.4203,"This animal has feathers.Its body can be black, beige, white, orange and blue.","This animal's natural habitat is grassland, shrubland, wetland, savanna and urban.",
Barnacle,,,"This animal has a shell.Its body can be black, yellow, white and cream.",This animal's natural habitat is shallow marine environments.,
Barnevelder,They usually live in flocks.Their aggression level is low.,,"This animal has feathers.Its body can be black, red and light-brown.",,It has a diurnal lifestyle.
Barosaurus,They usually live in herds. Their temperament can be characterized as placid.Their aggression level is low.,16.0934,,This animal's natural habitat is warm and semi-arid coniferous forest..,It has a herd and terrestrial lifestyle.
Barracuda,,,"This animal's skin is smooth.Its body can be blue, black, brown and grey.",This animal's natural habitat is coastal lagoons and coral reefs.,
Barramundi Fish,,,This animal has scales.Its body can be silver and green.,"This animal's natural habitat is rivers, streams and ocean.",
Barred Owl,,48.2802,,"This animal's natural habitat is forests, especially old growth forests near bodies of water and wooded swamps.",
